"","PH_1","theta_w_1","sigma_1","PH_female_1","PH_mayor45_1","PH_underage_in_household_1","PH_only_worker_1","theta_w_female_1","theta_w_mayor45_1","theta_w_underage_in_household_1","theta_w_only_worker_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_female_2","PH_mayor45_2","PH_underage_in_household_2","PH_only_worker_2","theta_w_female_2","theta_w_mayor45_2","theta_w_underage_in_household_2","theta_w_only_worker_2"
"theta_w_only_worker_1",-9731.59330897033,-2675.73341261595,0,-2657.5435185805,-2732.12208412588,-1979.06047105789,-9731.59330897033,-909.494701772928,-1116.85949377716,-884.028850123286,-2675.73341261595,0,0,0,0,0,0,0,0,0,-1.81898940354586,-1.81898940354586,0,0,0,0,0,0,0
"PH_2",-1184.16210170835,-611.180439591408,23.6468622460961,-583.89559853822,0,-854.925019666553,0,-305.590219795704,0,-438.376446254551,0,-5369.65671926737,-2672.09543380886,130.967237055302,81.8545231595635,36.3797880709171,0,80.0355337560177,0,0,61.8456397205591,-2490.19649345428,-141.881173476577,-4803.95101476461,0,-1198.71401693672,-132.786226458848,-2368.32420341671,0
"theta_w_2",-569.343683309853,-300.133251585066,14.5519152283669,-281.943357549608,0,-403.81564758718,0,-150.976120494306,0,-214.640749618411,0,-2672.09543380886,-1398.80285132676,65.4836185276508,43.6557456851006,20.0088834390044,0,41.8367562815547,0,0,30.9228198602796,-1198.71401693672,-134.605215862393,-2368.32420341671,0,-612.999428994954,-127.32925824821,-1225.99885798991,0
"sigma_2",1.81898940354586,3.63797880709171,1.81898940354586,1.81898940354586,1.81898940354586,5.45696821063757,1.81898940354586,1.81898940354586,1.81898940354586,3.63797880709171,0,130.967237055302,65.4836185276508,-14.5519152283669,21.8278728425503,12.732925824821,1.81898940354586,18.1898940354586,0,0,5.45696821063757,81.8545231595635,0,138.243194669485,0,40.0177668780088,1.81898940354586,69.1215973347425,0
"asc_2",112.777343019843,92.7684595808387,10.9139364212751,50.931703299284,-3.63797880709171,89.130480773747,0,43.6557456851006,-3.63797880709171,65.4836185276508,0,81.8545231595635,43.6557456851006,21.8278728425503,-85.4925019666553,-43.6557456851006,-1.81898940354586,-63.664629124105,0,0,-29.1038304567337,36.3797880709171,0,80.0355337560177,0,18.1898940354586,0,43.6557456851006,0
"x_female_2",49.1127138957381,43.6557456851006,7.27595761418343,50.931703299284,0,41.8367562815547,1.81898940354586,43.6557456851006,0,32.7418092638254,0,36.3797880709171,20.0088834390044,12.732925824821,-43.6557456851006,-41.8367562815547,0,-32.7418092638254,0,0,-12.732925824821,36.3797880709171,1.81898940354586,34.5607986673713,0,20.0088834390044,1.81898940354586,18.1898940354586,0
"x_mayor45_2",-3.63797880709171,-1.81898940354586,1.81898940354586,0,-3.63797880709171,0,0,0,-1.81898940354586,0,0,0,0,1.81898940354586,-1.81898940354586,0,-1.81898940354586,-1.81898940354586,0,0,0,0,0,1.81898940354586,0,0,1.81898940354586,1.81898940354586,0
"x_underage_in_household_2",87.3114913702011,67.3026079311967,9.09494701772928,41.8367562815547,0,89.130480773747,0,32.7418092638254,0,65.4836185276508,0,80.0355337560177,41.8367562815547,18.1898940354586,-63.664629124105,-32.7418092638254,-1.81898940354586,-63.664629124105,0,0,-23.6468622460961,32.7418092638254,0,81.8545231595635,0,16.3709046319127,1.81898940354586,43.6557456851006,0
"x_only_worker_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x_university_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x_metropolitana_2",34.5607986673713,29.1038304567337,1.81898940354586,10.9139364212751,-3.63797880709171,29.1038304567337,0,10.9139364212751,-3.63797880709171,20.0088834390044,-1.81898940354586,61.8456397205591,30.9228198602796,5.45696821063757,-29.1038304567337,-12.732925824821,0,-23.6468622460961,0,0,-29.1038304567337,30.9228198602796,-1.81898940354586,52.7506927028298,0,16.3709046319127,0,27.2848410531878,0
"PH_female_2",-585.714587941766,-305.590219795704,9.09494701772928,-583.89559853822,-1.81898940354586,-482.032191939652,0,-307.40920919925,-1.81898940354586,-252.839527092874,-1.81898940354586,-2490.19649345428,-1198.71401693672,81.8545231595635,36.3797880709171,36.3797880709171,0,32.7418092638254,0,0,30.9228198602796,-2490.19649345428,-49.1127138957381,-2368.32420341671,0,-1198.71401693672,-47.2937244921923,-1140.50635602325,0
"PH_mayor45_2",0,0,0,0,0,0,0,-1.81898940354586,0,-1.81898940354586,0,-141.881173476577,-134.605215862393,0,0,1.81898940354586,0,0,0,0,-1.81898940354586,-49.1127138957381,-141.881173476577,-94.5874489843845,0,-47.2937244921923,-132.786226458848,-90.9494701772928,0
"PH_underage_in_household_2",-856.744009070098,-436.557456851006,23.6468622460961,-482.032191939652,0,-854.925019666553,1.81898940354586,-251.020537689328,0,-436.557456851006,0,-4803.95101476461,-2368.32420341671,138.243194669485,80.0355337560177,34.5607986673713,1.81898940354586,81.8545231595635,0,0,52.7506927028298,-2368.32420341671,-94.5874489843845,-4802.13202536106,0,-1138.68736661971,-90.9494701772928,-2366.50521401316,0
"PH_only_worker_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"theta_w_female_2",-283.762346953154,-150.976120494306,5.45696821063757,-281.943357549608,-1.81898940354586,-231.011654250324,0,-152.795109897852,-1.81898940354586,-123.691279441118,0,-1198.71401693672,-612.999428994954,40.0177668780088,18.1898940354586,20.0088834390044,0,16.3709046319127,0,0,16.3709046319127,-1198.71401693672,-47.2937244921923,-1138.68736661971,0,-612.999428994954,-45.4747350886464,-583.89559853822,0
"theta_w_mayor45_2",0,1.81898940354586,1.81898940354586,0,0,0,0,0,0,0,0,-132.786226458848,-127.32925824821,1.81898940354586,0,1.81898940354586,1.81898940354586,1.81898940354586,0,0,0,-47.2937244921923,-132.786226458848,-90.9494701772928,0,-45.4747350886464,-125.510268844664,-87.3114913702011,0
"theta_w_underage_in_household_2",-403.81564758718,-212.821760214865,14.5519152283669,-229.192664846778,0,-401.996658183634,1.81898940354586,-123.691279441118,0,-212.821760214865,0,-2368.32420341671,-1225.99885798991,69.1215973347425,43.6557456851006,18.1898940354586,1.81898940354586,43.6557456851006,0,0,27.2848410531878,-1140.50635602325,-90.9494701772928,-2366.50521401316,0,-583.89559853822,-87.3114913702011,-1225.99885798991,0
"theta_w_only_worker_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
