"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"x_only_worker_2",-562.06772569567,-36.3797880709171,5.45696821063757,-183.717929758132,-74.5785655453801,9.09494701772928,-65.4836185276508,-25.465851649642,-27.2848410531878,-45.4747350886464,-65.4836185276508,-7.27595761418343,-14.5519152283669,14.5519152283669,9.09494701772928,0,0,0,0,0,0,0,0,0,0,0,-1.81898940354586,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,0
"x_university_2",-136.424205265939,-10.9139364212751,3.63797880709171,-61.8456397205591,-14.5519152283669,9.09494701772928,-30.9228198602796,-16.3709046319127,-7.27595761418343,-16.3709046319127,-7.27595761418343,-30.9228198602796,-10.9139364212751,30.9228198602796,16.3709046319127,0,1.81898940354586,0,0,1.81898940354586,0,3.63797880709171,1.81898940354586,-147.338141687214,-36.3797880709171,-1.81898940354586,9.09494701772928,5.45696821063757,0,1.81898940354586,0,9.09494701772928,1.81898940354586
"x_metropolitana_2",-167.347025126219,-10.9139364212751,1.81898940354586,181.898940354586,98.2254277914762,14.5519152283669,-72.7595761418343,-34.5607986673713,-27.2848410531878,-41.8367562815547,-14.5519152283669,-10.9139364212751,-74.5785655453801,280.124368146062,170.985003933311,0,34.5607986673713,14.5519152283669,12.732925824821,27.2848410531878,0,1.81898940354586,34.5607986673713,-47.2937244921923,-9.09494701772928,0,0,0,-1.81898940354586,-1.81898940354586,0,0,0
"PH_3",-1589.79673869908,-502.041075378656,-29.1038304567337,-2120.94164453447,-874.933903105557,-94.5874489843845,809.450284577906,229.192664846778,403.81564758718,676.664058119059,14.5519152283669,30.9228198602796,280.124368146062,-17997.0811586827,-10804.7970570624,-94.5874489843845,-769.432517699897,-203.726813197136,-385.625753551722,-658.4741640836,-10.9139364212751,-23.6468622460961,-256.477505899966,-50.931703299284,-9.09494701772928,1.81898940354586,25.465851649642,9.09494701772928,7.27595761418343,16.3709046319127,0,0,5.45696821063757
"theta_w_3",-716.681824997067,-267.391442321241,-12.732925824821,-982.254277914762,-416.548573412001,-50.931703299284,474.756234325469,143.700162880123,236.468622460961,400.177668780088,9.09494701772928,16.3709046319127,170.985003933311,-10804.7970570624,-6635.67334413528,-52.7506927028298,-434.73846744746,-121.872290037572,-212.821760214865,-376.530806533992,-5.45696821063757,-9.09494701772928,-149.15713109076,-16.3709046319127,-1.81898940354586,1.81898940354586,12.732925824821,5.45696821063757,3.63797880709171,9.09494701772928,0,0,3.63797880709171
"sigma_3",-38.198777474463,-9.09494701772928,-1.81898940354586,100.044417195022,47.2937244921923,0,3.63797880709171,1.81898940354586,1.81898940354586,1.81898940354586,0,0,0,-94.5874489843845,-52.7506927028298,-9.09494701772928,0,0,0,1.81898940354586,0,0,0,5.45696821063757,1.81898940354586,0,-1.81898940354586,0,-1.81898940354586,-1.81898940354586,0,-1.81898940354586,0
"asc_3",-161.890056915581,-47.2937244921923,0,-594.809534959495,-296.495272777975,-21.8278728425503,92.7684595808387,40.0177668780088,41.8367562815547,80.0355337560177,0,1.81898940354586,34.5607986673713,-769.432517699897,-434.73846744746,0,-90.9494701772928,-40.0177668780088,-40.0177668780088,-78.2165443524718,0,-1.81898940354586,-34.5607986673713,-5.45696821063757,-1.81898940354586,0,5.45696821063757,1.81898940354586,0,1.81898940354586,0,-1.81898940354586,0
"x_female_3",-67.3026079311967,-20.0088834390044,0,-269.210431724787,-134.605215862393,-12.732925824821,40.0177668780088,40.0177668780088,20.0088834390044,38.198777474463,0,0,14.5519152283669,-203.726813197136,-121.872290037572,0,-40.0177668780088,-40.0177668780088,-20.0088834390044,-38.198777474463,0,0,-16.3709046319127,-3.63797880709171,-1.81898940354586,0,1.81898940354586,1.81898940354586,-1.81898940354586,0,0,-1.81898940354586,0
"x_mayor45_3",-67.3026079311967,-20.0088834390044,0,-254.65851649642,-129.148247651756,-9.09494701772928,40.0177668780088,20.0088834390044,41.8367562815547,29.1038304567337,0,0,12.732925824821,-385.625753551722,-212.821760214865,0,-40.0177668780088,-20.0088834390044,-40.0177668780088,-29.1038304567337,-1.81898940354586,0,-12.732925824821,-3.63797880709171,-1.81898940354586,0,0,0,0,-1.81898940354586,0,-1.81898940354586,0
"x_underage_in_household_3",-103.682396002114,-30.9228198602796,0,-467.480276711285,-232.83064365387,-16.3709046319127,80.0355337560177,38.198777474463,30.9228198602796,80.0355337560177,0,1.81898940354586,27.2848410531878,-658.4741640836,-376.530806533992,1.81898940354586,-78.2165443524718,-38.198777474463,-29.1038304567337,-78.2165443524718,0,-1.81898940354586,-27.2848410531878,0,0,0,1.81898940354586,1.81898940354586,-1.81898940354586,1.81898940354586,0,-1.81898940354586,0
"x_only_worker_3",-43.6557456851006,-7.27595761418343,0,-18.1898940354586,-7.27595761418343,0,0,0,1.81898940354586,0,0,0,0,-10.9139364212751,-5.45696821063757,0,0,0,-1.81898940354586,0,0,1.81898940354586,0,0,0,0,0,0,0,0,0,0,0
