"","PH_1","theta_w_1","sigma_1","PH_female_1","PH_mayor45_1","PH_only_worker_1","theta_w_female_1","theta_w_mayor45_1","theta_w_only_worker_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_female_2","PH_mayor45_2","PH_only_worker_2","theta_w_female_2","theta_w_mayor45_2","theta_w_only_worker_2"
"theta_w_2",-725.776772014797,-409.272615797818,12.732925824821,-383.806764148176,0,-25.465851649642,-205.545802600682,0,-36.3797880709171,-2777.59681921452,-1429.72567118704,49.1127138957381,34.5607986673713,18.1898940354586,0,41.8367562815547,-10.9139364212751,0,43.6557456851006,-1191.43805932254,-109.139364212751,-185.536919161677,-612.999428994954,-101.863406598568,-80.0355337560177
"sigma_2",-43.6557456851006,-3.63797880709171,0,-3.63797880709171,0,-41.8367562815547,0,0,-3.63797880709171,90.9494701772928,49.1127138957381,-20.0088834390044,23.6468622460961,9.09494701772928,0,18.1898940354586,3.63797880709171,0,5.45696821063757,72.7595761418343,0,-16.3709046319127,34.5607986673713,0,-7.27595761418343
"asc_2",-118.234311230481,87.3114913702011,9.09494701772928,-5.45696821063757,0,-260.115484707057,50.931703299284,0,-25.465851649642,52.7506927028298,34.5607986673713,23.6468622460961,-120.053300634027,-56.3886715099216,-3.63797880709171,-89.130480773747,-34.5607986673713,0,-38.198777474463,34.5607986673713,0,-27.2848410531878,20.0088834390044,0,-10.9139364212751
"x_female_2",-5.45696821063757,49.1127138957381,5.45696821063757,-7.27595761418343,-1.81898940354586,-69.1215973347425,50.931703299284,-1.81898940354586,-3.63797880709171,34.5607986673713,18.1898940354586,9.09494701772928,-56.3886715099216,-56.3886715099216,-1.81898940354586,-45.4747350886464,-16.3709046319127,0,-18.1898940354586,34.5607986673713,0,-14.5519152283669,18.1898940354586,0,-5.45696821063757
"x_mayor45_2",0,0,0,-1.81898940354586,0,0,0,0,0,0,0,0,-3.63797880709171,-1.81898940354586,-3.63797880709171,-1.81898940354586,0,0,-1.81898940354586,0,0,0,0,0,0
"x_underage_in_household_2",-178.260961547494,25.465851649642,7.27595761418343,-30.9228198602796,0,-240.106601268053,27.2848410531878,0,-29.1038304567337,72.7595761418343,41.8367562815547,18.1898940354586,-89.130480773747,-45.4747350886464,-1.81898940354586,-89.130480773747,-23.6468622460961,0,-29.1038304567337,43.6557456851006,0,-18.1898940354586,21.8278728425503,0,-7.27595761418343
"x_only_worker_2",-260.115484707057,-25.465851649642,-1.81898940354586,-69.1215973347425,0,-260.115484707057,-3.63797880709171,0,-25.465851649642,-27.2848410531878,-10.9139364212751,3.63797880709171,-34.5607986673713,-16.3709046319127,0,-23.6468622460961,-34.5607986673713,0,-9.09494701772928,-14.5519152283669,0,-29.1038304567337,-5.45696821063757,0,-10.9139364212751
"x_university_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x_metropolitana_2",-9.09494701772928,30.9228198602796,1.81898940354586,-5.45696821063757,-1.81898940354586,-54.5696821063757,12.732925824821,-1.81898940354586,-5.45696821063757,87.3114913702011,43.6557456851006,5.45696821063757,-38.198777474463,-18.1898940354586,-1.81898940354586,-29.1038304567337,-9.09494701772928,0,-40.0177668780088,40.0177668780088,0,0,20.0088834390044,-1.81898940354586,-1.81898940354586
"PH_female_2",-803.993316367269,-422.005541622639,9.09494701772928,-803.993316367269,-1.81898940354586,-69.1215973347425,-422.005541622639,-1.81898940354586,-40.0177668780088,-2455.63569478691,-1191.43805932254,72.7595761418343,34.5607986673713,34.5607986673713,0,43.6557456851006,-14.5519152283669,0,40.0177668780088,-2457.45468419045,-60.0266503170133,-190.993887372315,-1191.43805932254,-54.5696821063757,-87.3114913702011
"PH_mayor45_2",0,0,0,0,0,0,0,0,0,-118.234311230481,-109.139364212751,0,0,0,0,0,0,0,0,-60.0266503170133,-116.415321826935,-20.0088834390044,-54.5696821063757,-109.139364212751,-16.3709046319127
"PH_only_worker_2",-38.198777474463,-85.4925019666553,-5.45696821063757,-69.1215973347425,-1.81898940354586,-38.198777474463,-38.198777474463,-1.81898940354586,-85.4925019666553,-458.385329693556,-185.536919161677,-16.3709046319127,-27.2848410531878,-14.5519152283669,0,-18.1898940354586,-29.1038304567337,0,0,-190.993887372315,-20.0088834390044,-458.385329693556,-87.3114913702011,-16.3709046319127,-185.536919161677
"theta_w_female_2",-383.806764148176,-207.364792004228,5.45696821063757,-383.806764148176,-1.81898940354586,-30.9228198602796,-205.545802600682,-1.81898940354586,-16.3709046319127,-1189.61906991899,-612.999428994954,34.5607986673713,20.0088834390044,18.1898940354586,0,21.8278728425503,-5.45696821063757,0,20.0088834390044,-1191.43805932254,-54.5696821063757,-87.3114913702011,-612.999428994954,-50.931703299284,-43.6557456851006
"theta_w_mayor45_2",0,0,0,-1.81898940354586,0,-1.81898940354586,0,0,0,-109.139364212751,-101.863406598568,0,0,0,0,0,0,0,-1.81898940354586,-54.5696821063757,-109.139364212751,-16.3709046319127,-50.931703299284,-101.863406598568,-14.5519152283669
