id_hogar,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region,prop_ing_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_total,w,savings,total_expenses,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec_cuentas,Ec_hogar,Ec_salud,Ec_transporte,Ec_educacion
505,1666,0,0,1,7,3,0,1,1,1,4,4,4,2,2,0,0,5,33,1,1,1,0,0,0,1,22,12-24,técnica,0,0,0,0,0,4,centro,6,0,Desocupada(o),0,7,5,5,5,5,85,5,4,4,4,85,4,4,85,3,3,3,0,0,0,0,0,0,0,0,0,450,90,0,0,9.72,21.93,0.19,0,63.62,11.24,8.89,52.36,0.05,0,37.89,4.38,1.62,1.42,17.83,0.48,8.89,52.36,43.13,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
506,1669,0,0,5,7,1,0,0,0,0,3,4,2,1,0,2,0,4,59.25,1,0,0,0,0,0,1,77,66+,ninguna,0,0,0,0,0,3,sur,10,0,Inactiva(o),0,7,4,85,4,85,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,225,56.25,0,0,225,56.25,0,0,26.92,0.02,0,0,80.51,7.51,17.27,35.77,0,0,7.84,0,1.93,54.78,15.97,0,17.27,35.77,34.45,167.99999999999997,NA,0,0,0,0,0,0,0,0,0,0,0,0
506,1670,1,0,5,7,3,0,0,0,0,3,4,2,1,0,2,1,4,59.25,0,1,1,0,0,0,1,50,45-65,secundaria,0,1,48,8,6,3,sur,10,0.5,Ocupada(o),2,2,4,4,85,3,4,4,2,2,1,3,3,3,2,3,85,1,3,112.5,112.5,0,0,0,0,0,112.5,225,56.25,48,0,21.42,15.56,0.02,0,27.23,8.05,8.62,37.29,1.81,48,10.4,0,2.25,1.62,12.69,0.26,8.62,37.29,46.85,168,2.34375,14.332832579038882,98.16716742096112,32.8,3.75,3.75,7.81,2.69,17.04,4.81,11.62,11.89,2
508,1679,0,0,1,7,3,0,3,3,3,2,2,3,2,2,0,0,5,21.4,0,0,0,1,0,1,1,14,12-24,ninguna,1,0,0,0,0,3,norte,5,0,Menor de 15 años,0,7,5,85,85,5,85,4,4,4,5,85,5,5,85,85,85,3,0,0,0,0,0,0,0,0,0,225,45,0,0,3.28,0.89,1.27,45.59,35.34,3.76,6.81,67.04,4.02,0,13.5,9.8,0.19,0.93,5.84,5.1,6.81,67.04,58.81,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
511,1689,0,0,1,7,1,0,0,0,0,2,3,2,1,0,1,0,3,47,1,0,0,0,1,1,1,70,66+,primaria,0,0,0,0,0,4,norte,4,0.08657587548638132,Inactiva(o),0,7,4,85,4,85,85,4,3,4,2,85,3,3,85,85,85,1,9,0,0,22.25,0,257,85.66666666666667,0,22.25,257,85.66666666666667,0,0,25.01,2.59,0,0,76.29,18.54,10.06,32.80999999999998,2.7,0,18.83,1.81,3.28,43.26,9.11,0,10.06,32.80999999999998,48.84,168,NA,1.1314915629177134,21.118508437082287,4.73,1.05,1.21,1.75,0.79,4.3,1.15,2.29,3.05,0.8
511,1690,0,0,1,7,3,0,0,0,0,2,3,2,1,0,1,0,3,47,0,0,0,0,1,1,0,47,45-65,ninguna,0,0,0,0,0,4,norte,4,0.08657587548638132,Inactiva(o),0,7,3,85,85,4,85,3,3,3,4,85,4,4,4,85,85,3,0,0,0,22.25,0,0,0,0,22.25,257,85.66666666666667,0,0,12.3,8.82,0,0,62.51,4.5,7.22,72.65,0,0,33.16,1.06,0.83,2.24,25.21,0,7.22,72.65,25.62,168,NA,1.1314915629177134,21.118508437082287,4.73,1.05,1.21,1.75,0.79,4.3,1.15,2.29,3.05,0.8
514,1705,1,1,3,7,1,0,2,2,2,2,2,1,1,0,0,0,4,18.5,1,1,1,0,0,0,0,27,25-44,primaria,0,1,90,15,6,2,norte,1,0.6862745098039216,Ocupada(o),1,3,3,2,2,1,3,2,2,2,2,3,1,3,3,4,4,2,1,87.5,87.5,0,0,127.5,31.875,0,87.5,127.5,31.875,90,0,8.07,8,0,0,19.53,1.5,5.76,33.42,1.72,90,15.02,0.32,0.11,0.68,3.36,0.03,5.76,33.42,19.29,168,0.9722222222222222,-28.539919170610457,116.03991917061046,28.23,6.19,4.92,8.15,9.08,25.23,5.12,7.04,14.92,7.15
518,1718,0,0,1,7,1,0,0,0,0,1,3,2,1,0,2,0,3,68.33333333333333,1,1,1,0,0,0,0,67,66+,primaria,0,0,0,0,0,3,centro,8,0.34256055363321797,Inactiva(o),0,7,4,4,4,85,85,5,4,4,3,85,4,96,96,4,85,3,0,0,0,49.5,0,144.5,48.166666666666664,0,49.5,144.5,48.166666666666664,0,0,32.75,0.09,0,0,65.49,2.95,10.08,56.64000000000001,0,0,25.02,14.13,7.06,8.09,11.18,0,10.08,56.64000000000001,35.79,168,NA,-1.0690792104883946,50.5690792104884,15.75,1.94,1.8,3.97,1.29,10.03,3.04,6.66,5.65,0.44
519,1721,1,1,4,6,1,0,1,1,1,3,4,5,2,0,1,0,5,38.4,1,1,1,0,0,0,0,48,45-65,secundaria,0,1,60,10,6,4,centro,7,0.54421768707483,Ocupada(o),1,6,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,2,1,200,200,0,0,367.5,73.5,0,200,367.5,73.5,60,0,0.46,2.8,0,0,43.46,1.44,7.51,43.86000000000001,8.47,60,13.01,0,0.77,26.41,2.83,0.43,7.51,43.86000000000001,13.16,168,3.3333333333333335,36.06267893397159,163.9373210660284,45.08,7.61,8.53,12.99,6.96,25.63,7.35,15.25,25.58,8.97
519,1722,1,1,4,6,2,0,1,1,1,3,4,5,2,0,1,0,5,38.4,1,1,1,0,0,0,1,40,25-44,secundaria,0,1,45,9,5,4,centro,7,0.40816326530612246,Ocupada(o),3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,150,150,0,0,0,0,0,150,367.5,73.5,45,0,12.19,5.01,0,0,34.74,1.46,9.78,54.01999999999999,5.8,45,15.69,0.09,0.69,9.64,8.2,0.42,9.78,54.01999999999999,24.47,168,3.3333333333333335,27.04700920047869,122.9529907995213,33.81,5.7,6.4,9.74,5.22,19.22,5.52,11.44,19.18,6.72
