id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_5,n_children_6_11,n_children_0_14,n_youth_12_17,n_underage,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,income_share,employment_status,cise,occupation_group,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,inc_main_job,inc_labor,inc_pension,inc_group,ing_mon,ing_mon_pc,inc_group_personal,inc_personal,household_income,inc_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_total,wage,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec
716,2351,0,0,5,7,2,0,1,1,0,1,4,3,1,0,2,0,5,42.8,1,1,1,1,0,1,1,67,66+,ninguna,0,0,0,0,0,2,norte,5,0,Inactiva(o),0,7,4,5,5,85,5,3,3,4,3,3,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,162.5,32.5,0,0,41.29,3.67,0,0,50.68,2.43,9.38,60.55,0,0,1.83,0,0,22.31,26.53,0,9.38,60.55,47.39,168,NA,0,0,0,0,0,0
716,2352,1,0,5,7,3,0,1,1,0,1,4,3,1,0,2,1,5,42.8,0,0,0,1,0,1,0,37,25-44,secundaria,0,1,40,8,5,2,norte,5,0.4307692307692308,Ocupada(o),2,5,4,85,85,5,3,3,3,2,4,3,4,4,3,85,85,2,1,70,70,0,0,0,0,0,70,162.5,32.5,40,0,22.12,2.78,0,0,49.03,3.01,9.03,37.71,4.32,40,14.43,2.14,1.89,20.37,9.12,1.1,9.03,37.71,32.23,167.99999999999997,1.75,27.52,3.07,2.48,5.36,2.97,28.5899874629052
718,2359,1,1,1,6,2,0,1,1,0,1,2,1,2,2,1,0,3,40.333333333333336,1,1,1,0,0,0,1,50,45-65,universitaria,0,1,30,6,5,5,centro,7,0.35135135135135137,Ocupada(o),3,1,2,3,4,3,4,2,3,2,3,4,2,4,2,3,4,2,1,162.5,162.5,0,0,0,0,0,162.5,462.5,154.16666666666666,30,0,22.47,22.26,0,0,39.68,1.81,11.24,36.82000000000001,3.72,30,15.54,0.11,0.52,15.93,6.35,1.23,11.24,36.82000000000001,50.25,168.00000000000003,5.416666666666667,21.92,15.24,15.12,12.23,8.93,89.07388214196074
719,2361,0,0,3,7,1,0,0,0,0,0,2,2,0,0,0,0,2,20,0,0,0,0,0,0,1,21,12-24,secundaria,1,0,6,6,1,2,norte,5,1,Ocupada(o),2,3,4,85,85,3,5,5,2,5,3,3,5,4,3,85,85,2,6,7.5,7.5,0,75,82.5,41.25,75,82.5,82.5,41.25,6,0,13.86,2.41,0,17.27,66.91,5.2,5.21,48.84,2.3,6,29.82,8.52,0.07,14.29,7.89,6.32,5.21,48.84,41.04,168,1.25,24.49,7.08,8.07,10.55,8.36,23.953029910039255
719,2362,0,0,3,7,13,0,0,0,0,0,2,2,0,0,0,0,2,20,0,0,0,0,0,0,1,19,12-24,secundaria,1,0,0,0,0,2,norte,5,0,Inactiva(o),0,7,5,85,85,2,85,5,3,5,4,85,5,4,85,85,85,2,6,0,0,0,0,0,0,0,0,82.5,3.75,0,0,11.36,2.25,0,10.14,83.87,5.2,5.24,47.69,2.25,0,29.37,8.36,0,23.53,7.67,14.95,5.24,47.69,31.19,168,NA,0,0,0,0,0,0
722,2369,0,0,2,7,1,0,0,0,0,0,1,1,0,1,0,0,1,41,1,0,0,1,1,1,0,41,25-44,universitaria,0,0,0,0,0,1,sur,10,0,Desocupada(o),0,7,5,4,3,2,85,4,4,4,5,85,5,5,85,85,85,3,0,0,0,0,0,0,0,0,0,0,0,0,5.46,20.61,0,0.67,0.67,73.57,3.67,10.47,52.88000000000002,0,0,15.07,11.66,7.84,24.65,8.56,5.79,10.47,52.88000000000002,31.08,168,NA,0,0,0,0,0,0
725,2380,0,0,1,7,3,0,0,0,0,0,5,3,1,0,0,0,5,31,0,0,0,0,0,0,0,18,12-24,primaria,1,0,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,2,85,85,3,85,3,3,3,3,85,2,2,2,85,85,3,0,0,0,0,0,0,0,0,0,113.75,22.5,0,0,2.42,0.13,0,29.79,74.09,3.42,3.3,50.6,4.25,0,38.04,3.6,0.56,3.54,1.75,26.59,3.3,50.6,40.01,168,NA,0,0,0,0,0,0
725,2381,0,0,1,7,3,0,0,0,0,0,5,3,1,0,0,0,5,31,0,0,0,0,0,0,1,18,12-24,primaria,1,0,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,2,85,85,2,85,2,3,3,1,85,3,3,85,85,85,1,9,0,0,0,0,0,0,0,0,113.75,22.5,0,0,43.7,1.65,0,30.66,34.04,3.48,3.07,48.68,2.72,0,21.87,0.17,1.07,6.1,3.08,1.76,3.07,48.68,82.21,168,NA,0,0,0,0,0,0
728,2387,1,1,5,7,1,0,0,0,0,0,2,2,2,0,2,0,2,60,1,1,1,0,0,0,0,60,45-65,secundaria,0,1,48,8,6,5,sur,10,0.30434782608695654,Ocupada(o),2,3,3,3,4,85,2,4,4,2,2,3,3,4,3,3,85,1,1,87.5,87.5,0,0,287.5,143.75,0,87.5,287.5,143.75,48,0,12.02,4.26,0,0,39.07,2.89,9.15,48.74,3.87,48,15.16,0.15,1.21,4.64,17.68,0.24,9.15,48.74,23.04,168,1.8229166666666667,17.18,5.42,6.03,7.2,3.3,48.37043409637877
729,2389,1,1,3,6,1,1,0,1,0,1,2,2,2,2,0,0,3,23,1,1,1,0,0,0,0,35,25-44,técnica,0,1,45,9,5,5,sur,10,0.34615384615384615,Ocupada(o),2,2,4,5,5,3,4,4,4,4,2,3,4,4,5,4,4,2,1,117,117,0,0,338,112.66666666666667,0,117,338,112.66666666666667,45,0,11.69,14.3,0,0,50.82,2.64,6.61,30.72000000000001,6.22,45,19.21,2.51,8.71,3.1,8.76,8.54,6.61,30.72000000000001,34.84,168.00000000000003,2.6,16.03,12.88,15.47,10.48,9.28,52.847639339273925
729,2390,1,1,3,6,2,1,0,1,0,1,2,2,2,2,0,0,3,23,1,1,1,0,0,0,1,30,25-44,universitaria,1,1,44,9,5,5,sur,10,0.6538461538461539,Ocupada(o),2,1,4,4,2,4,3,2,2,2,2,3,2,2,4,4,4,2,3,221,221,0,0,0,0,0,221,338,112.66666666666667,44,0,13.28,31.43,0,2.64,22.82,4.73,6.7,35.39,7.01,44,7.01,0,1.45,8.7,3.03,2.63,6.7,35.39,59.09,168,5.0227272727272725,30.28,24.33,29.22,19.8,17.54,99.84109652973963
733,2402,0,0,3,7,3,1,0,1,0,1,5,3,1,1,0,0,6,21,0,1,1,0,0,0,1,23,12-24,técnica,0,0,0,0,0,1,centro,7,0,Inactiva(o),0,7,3,2,85,4,85,2,2,3,3,85,4,3,85,2,85,3,0,0,0,0,0,0,0,0,0,55,9.166666666666666,0,0,10.02,33.79,4.26,0,55.43,4.43,8.72,51.35000000000001,0,0,26.29,0,0.4,3.56,17.56,7.63,8.72,51.35000000000001,52.49,168,NA,0,0,0,0,0,0
734,2407,1,0,4,6,1,1,0,2,1,2,6,8,5,0,0,0,9,24.11111111111111,1,0,0,0,0,0,0,52,45-65,secundaria,0,1,48,12,4,3,norte,2,0.3573974415367433,Ocupada(o),2,6,4,85,2,3,4,3,3,2,4,4,2,3,4,85,85,3,0,100,175,22.441,0,552.441,61.382333333333335,0,197.44,552.441,61.382333333333335,48,0,3.27,6.68,0,0,54.69,2.42,7.69,40.84000000000001,4.41,48,14.59,0.65,1.1,27.74,7.97,2.64,7.69,40.84000000000001,16.77,167.99999999999997,3.6458333333333335,42.13,3.94,4.86,8.53,5.12,132.8640854310407
734,2411,0,0,4,6,7,1,0,2,1,2,6,8,5,0,0,0,9,24.11111111111111,0,1,1,0,0,0,1,21,12-24,secundaria,1,0,0,0,0,3,norte,2,0,Inactiva(o),0,7,4,3,85,85,2,1,4,5,3,85,4,4,85,2,85,1,6,0,0,0,0,0,0,0,0,552.441,61.382333333333335,0,0,9.42,11.51,1.99,14.59,68.85,8.8,12.09,39.13,1.62,0,26.66,13.87,5.23,9.11,7.5,6.49,12.09,39.13,47.93,167.99999999999997,NA,0,0,0,0,0,0
734,2415,1,0,4,6,13,1,0,2,1,2,6,8,5,0,0,0,9,24.11111111111111,0,1,1,0,0,0,1,31,25-44,secundaria,0,1,48,8,6,3,norte,2,0.10860888312055043,Ocupada(o),2,3,4,4,85,2,4,4,4,4,4,4,4,4,4,2,85,2,9,60,60,0,0,0,0,0,60,552.441,61.382333333333335,48,0,14.63,3.94,0,0,45.93,3.89,10.43,39.13,2.05,48,16.32,0,0,11.25,16.89,1.46,10.43,39.13,24.52,168,1.25,12.8,1.2,1.48,2.59,1.56,40.36989685963119
735,2417,0,0,1,7,3,0,0,1,2,2,2,1,1,1,0,0,4,25.5,0,0,0,0,0,0,0,25,25-44,universitaria,0,0,1,1,1,2,centro,8,0.12087912087912088,Ocupada(o),3,2,3,2,85,3,2,3,3,2,2,2,2,3,3,85,85,1,1,8.75,13.75,0,0,0,0,1.8131868131868132,15.56,128.75,28.890796703296704,1,0,20.88,11.47,0.04,0,76.43,3.1,7.93,47.15,0,1,45.61,1.05,16.39,0.46,11.56,1.36,7.93,47.15,35.49,167.99999999999997,13.75,6.41,1.34,1.44,2.06,1.38,2.951145653243378
736,2421,0,0,1,7,2,1,1,2,0,2,2,2,1,0,0,0,4,16.5,1,1,1,0,0,0,1,29,25-44,secundaria,0,0,0,0,0,2,sur,10,0,Inactiva(o),0,7,2,3,4,1,85,3,2,2,1,85,2,2,85,2,2,1,5,0,0,0,0,0,0,0,0,125,31.25,0,0,33.9,37.72,0,0,40.53,14.24,6.26,31.94,3.41,0,16.02,0,4.33,6.54,9.95,3.69,6.26,31.94,89.27,168,NA,0,0,0,0,0,0
737,2424,1,1,3,6,1,1,0,1,0,1,2,2,2,0,0,0,3,20.333333333333332,1,1,1,0,0,0,0,37,25-44,secundaria,0,1,60,12,5,3,norte,3,0.5757575757575758,Ocupada(o),2,5,3,2,3,4,4,4,3,1,1,2,2,2,3,3,4,1,4,0,95,0,0,165,55,0,95,165,55,60,0,18.37,16.63,0,0,30.07,2.11,8.21,31.61000000000001,1,60,10.18,0,2.56,6.74,9.88,0.7,8.21,31.61000000000001,38.1,168,1.5833333333333333,18.83,4.44,5.87,7.53,5.84,52.49851049966846
