id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_5,n_children_6_11,n_children_0_14,n_youth_12_17,n_underage,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,income_share,employment_status,cise,occupation_group,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,inc_main_job,inc_labor,inc_pension,inc_group,ing_mon,ing_mon_pc,inc_group_personal,inc_personal,household_income,inc_person_week,t_paid_work,t_job_search,t_care_essential,t_care_education_related,t_care_other,t_domestic_meals,t_domestic_cleaning,t_domestic_laundry,t_domestic_maintenance,t_domestic_admin,t_domestic_shopping,t_domestic_pets,t_voluntary_community,t_voluntary_households,t_personal_care,t_meals,t_sleep,t_education,t_leisure_social,t_leisure_hobbies,t_media_reading,t_media_video,t_media_audio,t_media_computer,t_commute1,t_total,wage,savings,food,clothing,utilities,household_goods,health,transportation,communications,recreation,education_exp,restaurants,total_expenses
6036,19469,0,0,2,7,1,0,0,0,0,0,1,1,0,0,1,0,1,74,1,0,0,0,0,0,0,74,66+,ninguna,0,0,0,0,0,2,centro,7,1,Inactiva(o),0,7,4,85,4,85,85,4,4,4,4,85,4,4,85,85,85,2,5,0,0,37.5,0,37.5,37.5,0,37.5,37.5,37.5,0,0,0,0,0,22.48,4.56,2.53,0,0,0.41,0.3,0,0,5.25,5.13,74.73,0,6.5,0,6.55,36.01,3.55,0,0,168,NA,-25.755953802165408,17.1,1.59,16.54,4.5,8.21,5.77,4.62,2.63,0.28,2.01,63.25595380216541
6037,19471,1,1,3,7,2,1,1,3,1,3,2,3,2,0,0,0,5,19,1,1,1,0,0,0,1,34,25-44,secundaria,0,1,50,10,5,1,metropolitana,13,0.02912621359223301,Ocupada(o),2,3,2,3,4,2,4,2,2,2,2,4,2,4,3,4,2,2,4,0.75,0.75,0,0,0,0,0.2038834951456311,0.95,32.75,5.190776699029126,50,0,15.6,4.1,5.35,9.71,5.74,1.43,0,0.28,1.09,0.35,0,0,4.27,5.39,35.029999999999994,0,4.09,0.9,6.39,5.82,4.81,0.18,7.47,168,0.015,-2.027808614759765,1.2,0.15,0.59,0.09,0.16,0.31,0.17,0.1,0.09,0.11,2.9778086147597653
6037,19474,0,0,3,7,3,1,1,3,1,3,2,3,2,0,0,0,5,19,0,0,0,0,0,0,1,12,12-24,ninguna,1,0,0,0,0,1,metropolitana,13,0,Menor de 15 años,0,7,3,85,85,4,85,4,4,3,3,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,32.75,5.15,0,0,1.74,3.99,0,2.05,0.09,0.52,0,0,3.13,0.52,0,0,3.4,11.35,56.78000000000001,40.49,6.71,10.12,0,10.28,14.3,0,2.53,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6038,19478,0,0,4,6,3,1,0,1,0,1,4,3,1,0,0,0,5,28.8,1,0,0,0,0,0,1,20,12-24,secundaria,1,0,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,85,4,4,85,4,4,4,2,85,4,4,85,85,85,2,6,0,0,0,0,0,0,0,0,74.75,12,0,0,7.94,1.64,0.53,0.61,2.34,0.12,0,0,0,0.01,0,0,4.4,7.11,60.74999999999999,33.66,11.43,1,0,8.89,13.1,10.48,3.99,168.00000000000003,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6039,19481,0,0,4,6,2,0,0,0,0,0,2,2,0,0,2,0,2,66,1,1,1,0,0,0,1,62,45-65,ninguna,0,0,0,0,0,2,centro,8,0.37777777777777777,Inactiva(o),0,7,5,5,5,85,85,4,2,3,2,85,4,2,85,5,5,2,9,0,0,21.25,0,0,0,0,21.25,56.25,28.125,0,0,0,0,0.15,1.66,0.33,1.88,0,0,0.46,1.31,0,53.51,22.76,4.74,41.88,0,25.37,0,0,5.53,7.37,0.31,0.74,168,NA,-12.687939868064163,10.09,0.95,7.96,2.07,4.12,3.34,2.55,1.43,0.3,1.13,33.93793986806416
6040,19483,0,0,4,6,3,0,0,0,0,0,2,1,1,0,0,0,2,36.5,0,0,0,0,0,0,0,22,12-24,secundaria,0,0,4,2,2,3,metropolitana,13,0.8297872340425532,Ocupada(o),1,3,5,85,85,5,4,5,5,5,3,4,4,4,4,85,85,3,0,50,97.5,0,0,0,0,5.1861702127659575,102.69,123.75,61.34308510638298,4,0,0,0,1.94,3.64,1.46,0.32,1.46,0,0.97,5.28,0,0,8.84,15.09,57.85,0,41.6,4.96,5.93,7.87,0.97,5.82,0,168,24.375,-27.91470125808921,29.99,5.23,32.32,5.77,10.5,16.25,10.31,6.02,5.63,8.57,130.60470125808922
6043,19494,1,0,3,7,3,0,0,0,0,0,3,2,2,0,1,0,3,46.333333333333336,0,0,0,0,0,0,0,21,12-24,secundaria,0,1,45,9,5,3,sur,12,0.44,Ocupada(o),2,6,1,2,85,2,4,3,4,2,1,1,1,4,2,85,85,1,1,67.5,82.5,0,0,0,0,0,82.5,187.5,62.5,45,0,0,0,0.36,0.3,1.22,0.72,0,0.12,1.57,0.77,0.36,0,6.08,5.45,39.65999999999999,0,10.18,7.79,0.85,6.88,7.98,31.35,1.36,168.00000000000003,1.8333333333333333,8.079710658202954,19.28,2.97,15.69,3.53,7.13,10.55,6.26,3.23,1.95,3.83,74.42028934179704
6045,19499,1,1,3,6,2,0,1,1,0,1,2,1,1,0,0,0,3,34,1,1,1,0,0,0,1,46,45-65,primaria,0,1,48,8,6,4,norte,2,0.2508361204013378,Ocupada(o),2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,75,75,0,0,0,0,0,75,299,99.66666666666667,48,0,1.02,0.26,9.38,6.32,5.34,1.28,0,0.97,0.11,0.14,0,1.56,1.31,3.67,39.59000000000001,0,3.04,0,0.1,29.57,8.17,0,8.17,167.99999999999997,1.5625,8.082585077954429,12.78,3.55,14.62,3.78,5.82,10,5.24,3.72,3.4,4,66.91741492204557
6046,19502,0,0,2,7,2,0,0,0,0,0,3,2,1,0,0,0,3,45.333333333333336,1,1,1,0,0,0,1,54,45-65,secundaria,0,0,0,0,0,5,centro,6,0,Inactiva(o),0,7,4,2,2,4,85,2,2,4,4,85,4,4,85,5,4,1,5,0,0,0,0,0,0,0,0,460.25,153.41666666666666,0,0,0,0,3.96,29.06,6.81,6.96,0,0,2.49,9.43,0,0,12.43,5.24,52.02000000000001,0,9.82,6.01,0.31,9.76,0.01,12.03,1.66,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
6047,19505,0,0,3,7,3,1,0,1,0,1,3,3,1,0,0,0,4,22.5,0,0,0,0,0,0,0,22,12-24,primaria,0,0,0,0,0,1,norte,5,0,Desocupada(o),0,7,3,5,85,1,85,3,4,3,1,85,3,2,85,85,85,2,4,0,0,0,0,0,0,0,0,69.2,6.25,0,18.08,8.09,0.1,0.34,0.21,0.02,0,0,3.01,0.41,0.03,0,0.46,8.34,8.13,70.30000000000001,0,9.73,5.46,0,23.33,8.87,3.09,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
6051,19518,1,0,5,7,1,0,0,0,0,0,2,2,2,0,0,0,2,29,0,1,1,0,0,0,0,31,25-44,secundaria,0,1,45,9,7,4,metropolitana,13,0.44881889763779526,Ocupada(o),2,5,4,4,85,96,96,3,3,3,3,4,3,3,4,96,85,2,4,71.25,71.25,0,0,158.75,79.375,0,71.25,158.75,79.375,45,0,0,0,0.17,6.19,2.35,3.71,0,1.01,0.85,2.77,0,0,1.93,13.24,40.87,0,15.35,0.86,0.88,16.64,10.82,1.73,3.63,168,1.5833333333333333,-20.474341492547907,16.75,4.24,21.44,3.99,6.72,13.57,7.25,4.72,5.15,7.91,91.72434149254791
6051,19519,1,0,5,7,2,0,0,0,0,0,2,2,2,0,0,0,2,29,0,1,1,0,0,0,1,27,25-44,secundaria,0,1,45,9,5,4,metropolitana,13,0.5511811023622047,Ocupada(o),2,3,4,4,85,85,4,4,4,4,4,85,4,4,4,4,85,2,1,87.5,87.5,0,0,0,0,0,87.5,158.75,79.375,45,0,1.75,0,0.7,7.1,2.31,3.1,0,3.22,4.34,2.16,0,0,1.51,8.13,45.45,0,13.75,0.56,0.54,8.61,8.04,8.91,2.82,168,1.9444444444444444,-25.143928148743043,20.57,5.21,26.33,4.9,8.25,16.66,8.9,5.8,6.32,9.71,112.64392814874304
6058,19538,0,0,3,7,3,0,0,0,0,0,2,1,0,1,0,0,2,35.5,0,0,0,1,0,1,1,22,12-24,secundaria,1,0,0,0,0,4,metropolitana,13,0,Inactiva(o),0,7,5,85,85,4,85,5,3,5,2,85,4,5,85,85,85,3,0,0,0,0,0,0,0,0,0,200,100,0,0,0,0,1.38,1.59,3.68,0.98,0,0,1.84,0.38,0,0,2.05,11.34,48.68999999999999,26.71,33.39,4.03,0,14.5,2.76,12.66,2.02,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
