"","FOLIO","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_4","n_menores_5_14","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_4_cut","n_menores_5_14_cut","n_trabajadores_cut","n_profesionales_cut"
"35","00035-1",35,0.765853658536585,0,29.2512263108694,0,11.1346765641569,262.081833933093,15.3658536585366,0,6.44308943089431,66.3414634146341,391.383996970722,-139.348143312185,1,"regiones",3,0,0,1,29,0,252.035853658537,252.035853658537,1,0,0,1,0
"36","00036-1",36,140.250226406342,10.6650724911106,71.933129925335,16.2338304517089,47.801219972653,128.34471598967,32.4912500550889,26.4188082621324,65.650406504065,44.8790880551402,584.667748113247,-190.515552991295,4,"regiones",4,0,0,1,40.25,1,98.5380487804878,394.152195121951,4,0,0,1,1
"37","00037-1",37,20.7102449646512,26.497707701137,106.95241816237,23.9746337627831,36.1587847304358,41.9455407880545,37.5024189053614,48.1128365763143,86.280487804878,49.8784193537668,478.013492749752,-3.98641957901986,3,"metropolitana",5,0,1,1,22,1,158.009024390244,474.027073170732,3,0,1,1,1
"38","00038-1",38,33.0878048668838,5.44715445169588,32.7101252349571,0.487804878048781,2.39024390243902,7.46341463414634,4.60975609756098,1.46341463414634,0.459349593495935,3.60975609756098,91.7288243909352,-13.9239463421547,4,"metropolitana",1,1,1,1,17.5,0,19.4512195121951,77.8048780487805,4,1,1,1,0
"39","00039-1",39,17.7756097560976,8.05338242061666,51.0527204502814,0,4.86829268292683,276.706333810652,5.11951219512195,8.95158766682007,100.711382113821,8.78048780487805,482.019308901216,-143.819014185769,2,"regiones",4,0,0,1,26.5,0,169.100147357724,338.200294715447,2,0,0,1,0
"40","00040-1",40,58.2180945121951,1.17667682926829,128.540650404023,14.9157038312926,44.3545572417101,9.76327247191011,17.7833176121817,4.24832317073171,8.02845528455285,8.50137195121951,295.530423309085,-36.2133501383532,3,"regiones",3,1,0,2,18,0,86.4390243902439,259.317073170732,3,1,0,2,0
"41","00041-1",41,61.8966488052461,8.0932467793288,36.7110989451163,15.5831530315572,56.0999492619827,19.1425683624638,0.100160000725355,6.89756549200973,0.152439024390244,21.8663410098927,226.543170712713,-55.843414615152,4,"regiones",2,1,0,2,28,0,42.6749390243902,170.699756097561,4,1,0,2,0
"42","00042-1",42,64.2564786585366,7.88136133187175,12.9146341463415,3.19881303096739,13.9748492737736,10.0589120401563,18.5365853658537,0.495923540696081,1.32113821138211,6.4161274592373,139.054823058816,-41.4353108636943,4,"metropolitana",1,0,0,0,40.25,0,24.4048780487805,97.619512195122,4,0,0,0,0
"43","00043-1",43,71.3203042492318,16.209839442648,178.610228560565,0.0772737722869568,15.3042080446652,4.14576442498303,22.9316034548714,76.8591594173313,0,6.61830629524333,392.076687661825,-206.710834003289,1,"regiones",3,0,0,1,37,1,185.365853658537,185.365853658537,1,0,0,1,1
"44","00044-1",44,94.6330027329471,40.4413897907129,74.350956238684,75.8228512391417,17.8902030191875,189.926557066212,21.9162223236546,34.8602400831362,71.6260162601626,80.7672136944762,702.234652448314,-484.016646237948,3,"regiones",3,0,2,1,19,0,72.7393354034553,218.218006210366,3,0,3,1,0
"45","00045-1",45,73.5855865996868,15.6908412090479,19.0250949238187,6.94725014370209,3.96774903924167,48.5319898139764,24.6850816532635,23.5851871767615,10.9091869918699,12.3139930956935,239.241960647062,-143.288058208038,4,"metropolitana",1,0,1,1,34.25,0,23.9884756097561,95.9539024390244,4,0,1,1,0
"46","00046-1",46,81.7394625684108,5.26495196352695,122.566363723079,11.8380464005586,18.2036180682786,37.201386486614,15.940881058926,9.73403528408928,0,2.61563224584807,305.104377799331,-247.921938774941,4,"metropolitana",1,2,0,0,19.5,0,14.2956097560976,57.1824390243902,4,2,0,0,0
"47","00047-1",47,39.7051917889595,3.89545291979956,29.0050538358177,6.10765671767228,2.76542682926829,19.9029729478767,32.7396871243371,13.0695373428171,2.16918421153897,10.2575123685723,159.61767608666,-4.73962730617177,3,"metropolitana",2,0,0,1,49,0,51.6260162601626,154.878048780488,3,0,0,1,0
"48","00048-1",48,37.2803353658537,12.9145572588974,15.0527439123634,1.78155487804878,0.652134146341463,0,0,3.30792682926829,0.40650406504065,3.4969512195122,74.8927076753259,0.351194763698547,4,"metropolitana",1,0,2,1,15.75,0,18.8109756097561,75.2439024390244,4,0,3,1,0
"49","00049-1",49,60.5907317073171,8.18909069785384,19.4776709210831,8.97465826856071,121.703075291622,16.8780487804878,13.0410392364793,11.8903923647932,0,26.3634146341463,287.108121902344,-87.2366503576284,2,"metropolitana",3,0,0,2,42,0,99.9357357723577,199.871471544715,2,0,0,2,0
"50","00050-1",50,31.3061150030332,14.0467924571595,14.6035199290268,3.34210944615232,43.193599395981,5.48847050720932,9.70714756077161,12.953120956728,0,9.83632769362235,144.477202949684,-12.7698858765134,2,"metropolitana",2,0,0,1,59,0,65.8536585365854,131.707317073171,2,0,0,1,0
"51","00051-1",51,4.27431402439024,3.86185047720042,24.3698833510074,4.9383993902439,4.45331190349947,1.20503048780488,8.42682926829268,0,0,0,51.529618902439,30.6142835365854,1,"regiones",1,0,0,0,90,0,82.1439024390244,82.1439024390244,1,0,0,0,0
