id_hogar,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,t_total,temp,w,savings,alimentos,vestimenta,cuentas,hogar,salud,transporte,comunicaciones,recreacion,educacion,restaurantes,total_expenses
9111,29487,0,0,5,6,3,1,0,1,1,2,2,3,2,0,0,4,25.25,0,0,0,0,0,0,0,15,12-24,primaria,1,0,0,1,metropolitana,13,0,Inactiva(o),0,7,4,85,85,3,85,4,4,4,3,85,2,2,85,85,85,3,0,0,0,0,0,0,0,0,0,67.5,16.875,0,0,1.92,12.22,2,25.99,57.54,3.07,6.37,54.56,4.33,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
9114,29495,1,1,4,7,2,0,0,1,1,1,2,3,2,1,0,3,37.333333333333336,1,1,1,0,0,0,0,48,45-65,universitaria,0,1,45,5,sur,11,0.6296296296296297,Ocupada(o),2,1,4,4,4,4,2,2,2,2,5,5,2,5,2,4,4,2,1,212.5,212.5,0,0,0,0,0,212.5,337.5,112.5,45,0,10.58,9.18,0,0,38.91,1.84,12.72,46.89,2.88,168,168,4.722222222222222,-54.11915277739089,37.48,12.12,52.56,18.77,25.13,48.55,18.73,16.68,15.94,20.65,266.61915277739087
9114,29496,0,0,4,7,3,0,0,1,1,1,2,3,2,1,0,3,37.333333333333336,0,0,0,0,0,0,0,14,12-24,ninguna,1,0,0,5,sur,11,0,Menor de 15 años,0,7,4,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,337.5,112.5,0,0,3.27,1.99,0,42.49,47.46,2.55,8.74,58.66999999999999,2.83,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
9115,29498,0,0,4,7,2,0,0,0,0,0,4,2,0,1,0,4,39,1,1,1,0,0,0,1,52,45-65,secundaria,0,0,0,3,norte,4,0,Inactiva(o),0,7,4,4,4,85,85,4,4,2,4,85,2,4,85,5,4,2,3,0,0,0,0,0,0,0,0,220,55,0,0,17.88,8.16,0,0,56.47,2.99,36.26,46.24000000000001,0,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
9116,29501,0,0,3,7,1,1,0,1,0,1,1,1,0,0,0,2,12,1,0,0,0,0,0,1,24,12-24,secundaria,0,0,12,1,metropolitana,13,1,Ocupada(o),1,3,2,85,4,2,2,2,2,2,2,2,2,2,4,85,85,3,0,16.25,16.25,0,0,16.25,8.125,0,16.25,16.25,8.125,12,0,12.63,35.73,0.36,0.4,51.71,3.23,4.32,47.61999999999999,0,168,168,1.3541666666666667,-70.86128487317973,20.17,5,24.75,2.58,4.26,8.66,5.62,3.75,7.35,4.96,87.11128487317973
9117,29503,1,1,2,7,1,1,1,2,0,2,2,2,1,0,0,4,20,1,1,1,0,0,0,0,37,25-44,secundaria,0,1,48,2,centro,6,1,Ocupada(o),3,6,2,2,2,2,4,3,3,2,3,4,2,3,2,3,2,1,1,125,125,0,0,125,31.25,0,125,125,31.25,48,0,4.74,16.41,3.53,0,41.94,1.61,6.83,37.38,7.56,168.00000000000003,168,2.6041666666666665,-31.845737094742862,39.85,9.95,33.5,6.49,10.43,20.74,11.32,7.52,10.01,7.03,156.84573709474287
9120,29513,1,1,1,7,1,0,0,0,0,0,4,1,1,2,0,4,34.25,1,1,1,0,0,0,0,55,45-65,universitaria,0,1,40,4,norte,3,1,Ocupada(o),3,1,4,4,4,85,4,4,4,3,4,4,3,4,4,4,4,1,9,350,350,0,0,350,87.5,0,350,350,87.5,40,0,30.05,1.33,0.18,0,35.99,6.19,12.52,39.45,2.29,168.00000000000003,168,8.75,-71.55541917542281,67.23,17.98,76.3,26.71,48.89,65.89,30.82,27.14,31.93,28.67,421.5554191754228
9121,29519,1,0,4,6,3,0,1,1,0,1,3,3,2,0,0,4,44.25,1,0,0,0,0,0,1,41,25-44,secundaria,0,1,40,3,metropolitana,13,0.30364372469635625,Ocupada(o),1,2,4,4,5,3,4,2,2,2,2,4,2,4,2,85,85,2,4,75,75,0,0,0,0,0,75,247,61.75,40,0,8.22,21.59,0,0,54.77,2.26,5.26,29.46999999999999,6.43,168,168,1.875,14.87973618678715,20.28,2.11,11.72,2.93,5.24,7.13,4.34,2.41,1.22,2.74,60.12026381321285
9124,29530,1,1,1,7,1,1,2,3,0,3,6,5,5,0,0,9,25.333333333333332,1,1,1,0,0,0,1,54,45-65,secundaria,0,1,45,2,norte,15,0.17064846416382254,Ocupada(o),2,2,4,4,4,85,4,4,3,3,4,4,3,4,4,4,4,2,9,62.5,62.5,0,3.5,369.75,41.083333333333336,0.597269624573379,63.1,369.75,40.760807736063704,45,0,7.84,6.53,0,0,45.28,4.23,10.58,45.46000000000001,3.08,168,168,1.3888888888888888,20.249251796611937,17.3,2.46,5.56,1.63,2.6,6.24,2.61,1.73,1.4,1.31,42.850748203388065
9124,29531,1,1,1,7,2,1,2,3,0,3,6,5,5,0,0,9,25.333333333333332,1,1,1,0,0,0,0,51,45-65,primaria,0,1,60,2,norte,15,0.4778156996587031,Ocupada(o),2,5,4,2,3,85,4,4,4,2,4,4,2,2,4,4,4,2,9,175,175,0,0,0,0,1.6723549488054608,176.67,369.75,40.880261660978384,60,0,0.69,1.82,0,0,43.69,3.41,8.81,46.39,3.19,168.00000000000003,168,2.9166666666666665,56.69790503051342,48.43,6.9,15.58,4.56,7.29,17.47,7.32,4.84,3.93,3.67,119.97209496948656
9124,29534,1,1,1,7,7,1,2,3,0,3,6,5,5,0,0,9,25.333333333333332,1,1,1,0,0,0,0,27,25-44,secundaria,0,1,50,2,norte,15,0.20477815699658705,Ocupada(o),1,3,4,4,2,2,4,4,4,2,2,2,2,3,3,4,2,2,9,75,75,0,0,0,0,0.7167235494880546,75.72,369.75,40.77408039438757,50,0,4.65,4.91,0,0,50.54,2.99,12.28,40.01,2.62,168,168,1.5,24.299102155934325,20.75,2.96,6.68,1.96,3.12,7.49,3.14,2.07,1.68,1.57,51.42089784406568
9125,29540,0,0,4,7,3,0,0,0,0,0,2,2,1,1,0,2,35,0,0,0,0,0,0,1,20,12-24,secundaria,1,0,0,4,metropolitana,13,0,Inactiva(o),0,7,3,85,85,4,85,5,3,2,2,85,2,4,85,85,85,2,6,0,0,0,0,0,0,0,0,175,87.5,0,0,16.5,1.44,0,30.64,49.79,6.22,9.41,54,0,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
9126,29542,1,1,4,7,2,1,0,1,0,1,3,2,3,0,0,4,36.25,1,1,1,0,0,0,1,57,45-65,primaria,0,1,50,2,sur,10,0.375,Ocupada(o),4,3,2,2,2,85,4,4,4,4,2,4,4,3,2,2,4,1,1,60,60,0,0,0,0,0,60,160,40,50,0,0.56,0.44,0.06,0,31.58,3.06,14.6,66.56,1.14,168,168,1.2,8.926009046251824,15.95,2.32,9.46,1.85,3.94,7.52,4.03,2.08,1.54,2.4,51.07399095374818
9126,29543,1,0,4,7,3,1,0,1,0,1,3,2,3,0,0,4,36.25,1,0,0,0,0,0,0,26,25-44,secundaria,0,1,12,2,sur,10,0.234375,Ocupada(o),1,3,4,4,3,3,3,4,4,4,3,3,4,2,4,85,85,3,0,37.5,37.5,0,0,0,0,0,37.5,160,40,12,0,53.1,15.73,0,0,29.83,2.9,7.54,46.88,0.02,168,168,3.125,5.57875565390739,9.97,1.45,5.91,1.15,2.46,4.7,2.52,1.3,0.96,1.5,31.92124434609261
9129,29548,1,0,1,7,1,1,0,1,0,1,3,1,1,2,0,4,47,1,0,0,0,0,0,1,57,45-65,técnica,0,1,48,4,metropolitana,13,0.25210084033613445,Ocupada(o),2,3,2,85,2,2,3,2,3,3,2,2,2,3,1,85,85,1,1,75,75,0,0,297.5,74.375,0,75,297.5,74.375,48,0,15.62,11.52,0,0,28.31,3.72,7.49,51.66,1.68,168,168,1.5625,-24.955599957483724,22,2.92,17.96,6.76,13.31,13.35,7.09,5.9,4.04,6.63,99.95559995748373
9130,29552,0,0,1,7,1,0,0,0,1,1,1,1,0,0,0,2,48,0,0,0,0,0,0,1,80,66+,ninguna,0,0,0,1,sur,9,1,Inactiva(o),0,7,4,85,85,85,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,35,0,35,17.5,0,35,35,17.5,0,0,35.66,10.65,0,0,25.8,3.16,16.4,76.33000000000001,0,168,168,NA,-39.91189310601224,22.42,2.92,20.16,3.36,6.29,7.02,5.3,3.04,1.69,2.71,74.91189310601224
9131,29556,1,1,5,6,3,1,0,1,0,1,6,4,5,1,1,7,39.42857142857143,1,1,1,0,0,0,0,26,25-44,secundaria,0,1,48,4,metropolitana,13,0.24474811339995922,Ocupada(o),2,6,2,2,2,3,2,1,1,1,4,4,2,2,2,4,4,2,9,150,150,0,0,0,0,0,150,612.875,87.55357142857143,48,0,12.73,15.2,0,0,31.96,2.73,10.25,44.63000000000001,2.5,168,168,3.125,47.05242538017412,39.4,2.83,11.53,3.89,10.31,14.79,6.98,3.81,4.38,5.03,102.94757461982587
9131,29558,1,0,5,6,9,1,0,1,0,1,6,4,5,1,1,7,39.42857142857143,1,0,0,0,0,0,0,53,45-65,secundaria,0,1,60,4,metropolitana,13,0.20395676116663267,Ocupada(o),2,3,4,4,4,85,4,2,4,4,2,4,4,4,4,85,85,3,0,125,125,0,0,0,0,0,125,612.875,87.55357142857143,60,0,6.39,1.79,0,0,36.17,2.52,19.22,34.40999999999999,7.5,168,168,2.0833333333333335,39.210354483478426,32.84,2.36,9.61,3.24,8.6,12.32,5.81,3.18,3.65,4.19,85.78964551652157
9133,29563,1,1,3,7,2,0,1,1,0,1,4,4,3,0,0,5,34.6,1,1,1,0,0,0,1,52,45-65,secundaria,0,1,46,4,metropolitana,13,0.23524844720496896,Ocupada(o),2,3,2,2,3,2,4,4,3,2,4,4,2,3,4,1,4,2,9,75.75,75.75,0,0,0,0,0,75.75,322,64.4,46,0,21.04,1.28,0,0,40.91,2.42,9.64,41.6,5.11,168,168,1.6467391304347827,12.37361128869305,19.93,2.58,10.59,2.92,5.24,9.27,4.62,2.76,1.89,3.59,63.37638871130695
9133,29564,1,0,3,7,3,0,1,1,0,1,4,4,3,0,0,5,34.6,1,0,0,0,0,0,0,31,25-44,secundaria,1,1,40,4,metropolitana,13,0.4658385093167702,Ocupada(o),2,2,4,85,4,4,4,4,3,3,3,4,3,3,4,85,85,2,1,150,150,0,0,0,0,0,150,322,64.4,40,0,8.42,1.08,4.68,0.01,62.32,3.38,7.99,34.24000000000001,5.88,168,168,3.75,24.502200571669405,39.46,5.1,20.97,5.77,10.37,18.35,9.14,5.47,3.74,7.12,125.4977994283306
9133,29565,0,0,3,7,3,0,1,1,0,1,4,4,3,0,0,5,34.6,0,0,0,0,0,0,1,20,12-24,secundaria,1,0,15,4,metropolitana,13,0.019409937888198756,Ocupada(o),2,3,4,85,85,3,4,3,3,4,4,4,3,3,3,85,85,2,6,6.25,6.25,0,0,0,0,0,6.25,322,64.4,15,0,4.62,1.45,0,23.85,64.72,5.09,4.99,38.21,10.07,167.99999999999994,168,0.4166666666666667,1.0209250238195586,1.64,0.21,0.87,0.24,0.43,0.76,0.38,0.23,0.16,0.3,5.229074976180441
9135,29568,1,0,5,7,1,0,0,0,0,0,2,1,1,1,0,2,41.5,1,0,0,0,0,0,1,55,45-65,secundaria,0,1,15,4,centro,8,0.3508771929824561,Ocupada(o),2,3,3,5,4,85,4,5,5,5,2,5,4,4,5,85,85,2,4,50,50,0,0,142.5,71.25,0,50,142.5,71.25,15,0,12.93,1.52,0.06,0,75.88,1.81,4.56,49.42,6.82,167.99999999999997,168,3.3333333333333335,-34.87865534404309,13.45,3.71,19.96,5.36,8.88,12.42,6.76,4.95,3.63,5.77,84.8786553440431
