id_persona,id_hogar,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_paid_work,t_job_search,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,t_total,temp,w
2497,758,1,1,1,6,1,1,0,3,2,3,2,4,2,2,0,5,26.2,1,1,1,0,0,0,1,45,45-65,técnica,0,1,20,2,sur,11,0.625,Ocupada(o),1,5,1,4,4,4,2,2,2,2,2,3,1,1,3,3,5,3,0,125,125,0,0,200,40,0,125,200,40,20,0,23.1,31.55,0.73,0,21.16,3.91,9.41,58.14000000000001,0,168,168,6.25
2499,758,0,0,1,6,3,1,0,3,2,3,2,4,2,2,0,5,26.2,0,0,0,0,0,0,0,14,12-24,primaria,1,0,0,2,sur,11,0,Menor de 15 años,0,7,4,85,85,4,85,5,2,2,3,85,3,4,85,85,85,3,0,0,0,0,0,0,0,0,0,200,40,0,0,16.76,7.97,0,36.45,38.24,1.11,8.46,57.2,1.81,168,168,NA
2502,759,0,0,3,6,1,0,0,0,0,0,2,2,0,0,0,2,77,1,1,1,0,0,0,0,80,66+,primaria,0,0,0,2,metropolitana,13,0.7142857142857143,Inactiva(o),0,7,4,4,3,85,96,3,3,3,1,85,3,2,85,5,85,2,4,0,0,50,0,70,35,0,50,70,35,0,0,53.76,0.08,0,0,21.7,3.89,28.03,60.54,0,168,168,NA
2503,759,0,0,3,6,2,0,0,0,0,0,2,2,0,0,0,2,77,1,1,1,0,0,0,1,74,66+,primaria,0,0,0,2,metropolitana,13,0.2857142857142857,Inactiva(o),0,7,4,4,2,85,85,3,3,3,1,85,3,3,85,4,85,2,3,0,0,20,0,0,0,0,20,70,35,0,0,57.37,0.58,0,0,37.95,4.15,18.95,49,0,168,168,NA
2504,760,1,1,4,6,1,1,0,1,0,1,2,2,2,0,0,3,23.666666666666668,1,1,1,0,0,0,0,38,25-44,secundaria,1,1,40,2,norte,5,0.9333333333333333,Ocupada(o),2,3,5,3,3,3,4,1,2,1,3,4,2,5,1,4,1,3,0,105,105,0,0,112.5,37.5,0,105,112.5,37.5,40,0,0.49,2.84,11.66,17.65,18.19,1.93,5.55,59.05999999999999,10.63,168,168,2.625
2508,761,0,0,3,6,2,1,1,3,1,3,3,3,0,0,0,6,17.166666666666668,1,1,1,0,0,0,1,33,25-44,secundaria,0,0,0,1,centro,8,0,Inactiva(o),0,7,4,2,4,2,85,4,4,4,4,85,2,4,85,4,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,22.49,60.88,0,0,16.42,3.31,4.94,59.96,0,168,168,NA
2509,761,0,0,3,6,10,1,1,3,1,3,3,3,0,0,0,6,17.166666666666668,0,0,0,0,0,0,1,18,12-24,primaria,1,0,0,1,centro,8,0,Inactiva(o),0,7,4,85,85,3,85,4,3,4,4,85,4,4,85,85,85,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4.29,1.29,0,41.77,52.58,3.32,3.11,55.44999999999999,6.19,168,168,NA
2513,762,0,0,2,6,1,0,0,0,0,0,2,1,0,2,0,2,70,1,1,1,0,0,0,0,69,66+,universitaria,0,0,0,5,norte,2,0.7920792079207921,Inactiva(o),0,7,4,5,4,85,85,4,5,4,4,85,4,4,85,4,85,2,9,0,0,200,0,252.5,126.25,0,200,252.5,126.25,0,0,10.05,2.66,0,0,81.78,3.87,17.15,52.49,0,168.00000000000003,168,NA
2522,764,0,0,1,6,3,0,0,0,0,0,3,3,0,0,0,3,45,0,0,0,0,0,0,1,24,12-24,secundaria,1,0,0,3,norte,5,0,Inactiva(o),0,7,4,85,85,4,85,4,4,4,4,85,4,4,4,85,85,3,0,0,0,0,0,0,0,0,0,175,58.333333333333336,0,0,0.97,0,0,20.94,67.79,6.18,9.08,50.13999999999998,12.9,167.99999999999997,168,NA
2532,768,1,1,1,6,2,0,0,0,0,0,4,3,3,1,0,4,39,1,1,1,0,0,0,1,59,45-65,secundaria,0,1,45,4,metropolitana,13,0.18439716312056736,Ocupada(o),3,2,2,2,3,85,4,3,3,3,1,4,3,3,3,3,3,2,1,65,65,0,0,0,0,0,65,352.5,88.125,45,0,26.13,0.04,0,0,30.13,2.78,11.39,47.87000000000001,4.66,168,168,1.4444444444444444
2537,769,1,0,4,7,12,0,0,0,0,0,3,2,1,0,1,3,64.33333333333333,1,0,0,0,0,0,1,45,45-65,primaria,0,1,50,1,sur,9,0.32786885245901637,Ocupada(o),4,3,3,4,3,3,3,4,4,3,2,4,3,3,3,85,85,2,4,25,25,0,0,0,0,0,25,76.25,25.416666666666668,50,0,21.56,2.25,0.67,0,33.6,1.59,6.75,46.88000000000001,4.7,167.99999999999997,168,0.5
2544,771,1,0,5,7,3,1,0,1,0,1,4,4,2,0,0,5,33,1,0,0,0,0,0,1,31,25-44,secundaria,0,1,36,2,centro,8,0.40540540540540543,Ocupada(o),3,3,2,1,2,2,4,1,2,1,2,4,3,4,4,85,85,2,1,75,75,0,0,0,0,4.054054054054054,79.05,195,37.810810810810814,36,0,7.51,29.71,0,0,35.34,5.86,4.81,37.86,10.91,168,168,2.0833333333333335
2547,772,1,0,2,7,1,0,0,0,0,0,2,2,2,1,0,2,40,0,1,1,0,0,0,0,40,25-44,secundaria,0,1,52,3,norte,5,0.673469387755102,Ocupada(o),2,6,2,4,85,85,3,2,2,2,2,3,2,4,3,4,85,1,1,0,82.5,0,0,122.5,61.25,0,82.5,122.5,61.25,52,0,6.53,0.53,0,0,57.5,1.83,5.97,43.150000000000006,0.49,168,168,1.5865384615384615
2553,774,0,0,2,6,1,0,0,0,0,0,1,1,0,1,0,1,77,0,0,0,1,0,1,0,77,66+,universitaria,0,0,0,5,norte,5,1,Inactiva(o),0,7,4,85,85,85,85,4,4,4,4,85,5,5,85,85,85,3,0,0,0,150,0,150,150,0,150,150,150,0,0,41.86,0,0,0,49.79,4.19,4.56,67.6,0,168,168,NA
2558,776,1,1,4,6,1,0,1,2,1,2,2,3,1,0,0,4,20.5,1,1,1,0,0,0,0,32,25-44,secundaria,0,1,60,2,metropolitana,13,1,Ocupada(o),2,5,4,4,4,3,2,4,4,4,2,4,2,4,2,4,4,3,0,125,125,0,0,125,31.25,0,125,125,31.25,60,0,3.78,8.22,0,0,38.84,0.64,5.3,36.23,14.99,168,168,2.0833333333333335
2559,776,0,0,4,6,2,0,1,2,1,2,2,3,1,0,0,4,20.5,1,1,1,0,0,0,1,29,25-44,primaria,0,0,0,2,metropolitana,13,0,Inactiva(o),0,7,2,2,4,3,85,3,3,2,1,85,2,2,2,4,4,1,4,0,0,0,0,0,0,0,0,125,31.25,0,0,17.27,11.68,0,0,77.52,1.63,7.46,52.44000000000001,0,167.99999999999997,168,NA
2560,776,0,0,4,6,3,0,1,2,1,2,2,3,1,0,0,4,20.5,0,0,0,0,0,0,0,12,12-24,ninguna,1,0,0,2,metropolitana,13,0,Menor de 15 años,0,7,1,85,85,4,85,2,2,5,4,85,2,2,85,85,85,2,6,0,0,0,0,0,0,0,0,125,31.25,0,0,2.07,3.79,0,30.7,58.46,2.38,3.75,66.12,0.73,168,168,NA
2562,777,1,0,5,7,1,0,0,0,0,0,1,1,1,0,0,1,59,1,0,0,0,0,0,1,59,45-65,primaria,0,1,45,3,centro,6,1,Ocupada(o),4,3,2,85,4,85,4,3,4,4,4,4,4,2,2,85,85,2,1,55,55,0,0,55,55,0,55,55,55,45,0,12.23,0,1.39,0,37.52,2.97,6.89,55.609999999999985,6.39,168,168,1.2222222222222223
2571,780,1,1,3,7,1,0,0,0,0,0,2,2,2,0,0,2,24,1,1,1,0,0,0,0,26,25-44,primaria,0,1,45,4,centro,8,0.5833333333333334,Ocupada(o),2,5,2,2,2,2,4,2,3,3,1,3,4,4,3,4,85,2,4,87.5,87.5,0,0,150,75,0,87.5,150,75,45,0,3.65,1.17,0,0,64.69,1.06,5.09,44.01999999999999,3.32,168,168,1.9444444444444444
2572,780,1,0,3,7,2,0,0,0,0,0,2,2,2,0,0,2,24,0,1,1,0,0,0,1,22,12-24,secundaria,0,1,52,4,centro,8,0.4166666666666667,Ocupada(o),2,3,2,2,85,4,3,3,4,3,3,3,3,4,4,4,85,2,1,62.5,62.5,0,0,0,0,0,62.5,150,75,52,0,14.1,0.28,1.6,0,41.31,2.28,6.38,46.68000000000001,3.37,168,168,1.2019230769230769
2573,781,1,0,2,7,1,1,0,1,0,1,3,3,1,0,0,4,35.5,1,0,0,0,0,0,1,40,25-44,secundaria,0,1,21,1,sur,9,0.3888888888888889,Ocupada(o),1,5,4,85,4,85,2,4,4,4,4,2,4,4,4,85,85,2,5,17.5,17.5,0,0,45,11.25,0,17.5,45,11.25,21,0,28.19,14.67,0.86,0,41.09,1.91,8.08,52.06,0.14,168,168,0.8333333333333334
2575,781,0,0,2,7,3,1,0,1,0,1,3,3,1,0,0,4,35.5,1,0,0,0,0,0,1,19,12-24,primaria,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,85,5,5,85,4,4,4,2,85,4,4,85,85,85,2,5,0,0,0,0,0,0,0,0,45,11.25,0,0,14.26,38.02,0.21,0,40.45,1.99,8.53,64.54,0,168.00000000000003,168,NA
