id_persona,id_hogar,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores6,n_menores12,n_men15,n_menores18,n_menores,n_mayores,n_tiempo,n_trabajadores,n_profesionales,hay_tercera,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_años,tramo_edad,nivel_escolaridad,estudia,trabaja,horas_trabajo,quintil,macrozona,region,prop_hogar,cae,cise,ciuo_agrupada,t11_1_1,t11_1_2,t11_1_3,t11_1_4,t11_1_5,t11_1_6,t11_1_7,t11_1_8,t12_1_1,t12_1_2,t12_1_3,t12_1_4,t12_1_5,t13_1_1,t13_1_2,t14_1_1,t15_1_1,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_mon,ing_mon_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,t_to,t_to_js,t_tcnr_ce,t_tcnr_re,t_tcnr_oac,t_tdnr_psc,t_tdnr_lv,t_tdnr_lrc,t_tdnr_mrm,t_tdnr_admnhog,t_tdnr_comphog,t_tdnr_cmp,t_tvaoh_tv,t_tvaoh_oh,t_cpaf_cp,t_cpag_comer,t_cpag_dormir,t_ed,t_vsyo_csar,t_vsyo_aa,t_mcm,t_tt1,t_total,w
9816,3026,0,0,3,7,3,0,0,0,0,0,2,1,0,0,0,2,42,0,0,0,0,0,0,1,25,25-44,secundaria,1,0,0,1,metropolitana,13,0,Inactiva(o),0,7,3,85,85,2,85,2,2,3,3,85,3,3,85,85,85,1,8,0,0,0,0,0,0,0,0,28.75,10.625,0,0,0.17,0.34,13.47,7.53,1.81,2.36,0,0,0.06,2.39,1.45,0,1.7,10.78,59.27,7.04,5.31,4.78,49.54,0,168.00000000000003,NA
9817,3027,1,0,1,6,1,0,0,0,0,0,2,2,1,0,0,2,28.5,0,1,1,0,0,0,0,29,25-44,secundaria,0,1,48,4,norte,5,0.83055851284723,Ocupada(o),2,5,4,5,85,4,4,4,1,3,3,4,4,4,4,4,85,3,0,85,110,0,0,132.441,66.2205,0,110,132.441,66.2205,48,0,0,0,1.08,4.44,4.71,0,1.83,0,2.42,1.43,0,0,1.44,7.68,38.18,0,1.98,1.68,49.2,3.93,168,2.2916666666666665
9818,3027,0,0,1,6,2,0,0,0,0,0,2,2,1,0,0,2,28.5,0,1,1,0,0,0,1,28,25-44,secundaria,0,0,0,4,norte,5,0.1694414871527699,Desocupada(o),0,7,5,5,85,5,5,3,4,4,3,2,5,5,5,4,85,3,0,0,0,22.441,0,0,0,0,22.44,132.441,66.2205,0,0,0.17,0,1.8,10.24,9.98,7.97,0,2.13,6.04,3.45,0,0,3.76,7.19,61.34999999999999,0,9.41,10.39,34.12,0,168,NA
9820,3028,0,0,4,7,2,1,0,1,1,2,2,2,0,0,0,4,15.75,1,1,1,0,0,0,1,24,12-24,ninguna,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,4,4,2,85,4,4,4,4,85,4,4,85,4,4,3,0,0,0,0,0,0,0,0,0,4.75,0,0,0,14.66,0.01,0.52,14.25,3.65,7.63,0,0,1.78,0,0,0.01,3.17,7.91,47.39,0.01,24.47,0.05,42.49,0,168,NA
9821,3028,0,0,4,7,10,1,0,1,1,2,2,2,0,0,0,4,15.75,0,0,0,0,0,0,1,17,12-24,primaria,0,0,0,1,sur,9,0,Inactiva(o),0,7,4,85,85,4,85,3,4,4,4,85,4,4,85,85,85,2,9,0,0,0,0,0,0,0,0,4.75,0,0,0,24.44,0.03,0.18,7.14,2.25,0.69,0,0,0.73,0.08,0,0.11,6.18,14.72,46.96000000000001,0,28.46,0.03,34.33,1.67,167.99999999999997,NA
9823,3029,1,1,2,7,1,0,1,2,1,2,2,3,2,0,0,4,23.5,1,1,1,0,0,0,0,36,25-44,ninguna,0,1,60,2,sur,12,0.537037037037037,Ocupada(o),2,3,3,3,3,3,4,3,3,3,1,2,1,1,5,2,2,2,1,72.5,72.5,0,2,137,34.25,1.0740740740740742,73.57,137,34.01851851851852,60,0,0.18,0.85,4.13,1.79,1.84,0.22,0,0,0.57,1.85,0,0,2.45,5.27,41.04999999999999,0,8.36,0.12,36.02,3.3,168,1.2083333333333333
9824,3029,1,1,2,7,2,0,1,2,1,2,2,3,2,0,0,4,23.5,1,1,1,0,0,0,1,35,25-44,secundaria,0,1,21,2,sur,12,0.46296296296296297,Ocupada(o),2,2,3,5,5,5,5,3,3,3,1,5,3,3,4,4,4,2,2,62.5,62.5,0,0,0,0,0.9259259259259259,63.43,137,33.98148148148148,21,0,9.72,8.98,3.58,13.67,3.42,3.55,0,0,0.9,2.96,0,0,6.19,11.92,40.220000000000006,0,16.86,0.29,21.3,3.44,168,2.9761904761904763
9826,3029,0,0,2,7,3,0,1,2,1,2,2,3,2,0,0,4,23.5,0,0,0,0,0,0,0,14,12-24,primaria,1,0,0,2,sur,12,0,Menor de 15 años,0,7,5,85,85,4,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,0,0,0,0,0,0,137,33.75,0,0,0,0,0.33,0.08,0.33,0,0,0,0.49,0.91,0,0,3.39,8.4,43.34,36.1,11.45,8.69,45.53,8.96,168,NA
9829,3031,1,0,5,7,1,0,1,1,0,1,2,1,1,2,0,3,22.666666666666668,0,0,0,0,0,0,1,28,25-44,universitaria,0,1,40,4,sur,10,0.9333333333333332,Ocupada(o),2,1,1,85,85,2,1,4,2,2,2,3,2,2,2,85,85,2,1,175,175,0,20,207.5,69.16666666666667,18.666666666666668,193.67,207.5,68.72222222222221,40,0,5.37,0,0.49,1.26,3.64,0.67,0,0.12,3.13,0.09,0,0.95,2.51,10.02,43.39999999999999,0,15.13,1.9,36.19,3.13,168,4.375
9833,3032,0,0,3,7,2,0,0,0,1,1,2,2,0,1,0,3,45.333333333333336,1,1,1,0,0,0,1,59,45-65,primaria,0,0,0,4,norte,1,0,Inactiva(o),0,7,4,4,5,4,4,3,4,4,2,4,3,4,3,4,4,2,2,0,0,0,0,0,0,0,0,277.5,92.5,0,0,0.81,0.08,4.03,13.73,12.38,7.35,0,0,1.45,0.83,6.8,2.82,4.89,14.48,35.09000000000001,0,16.05,10.24,36.97,0,168,NA
9834,3032,0,0,3,7,3,0,0,0,1,1,2,2,0,1,0,3,45.333333333333336,0,0,0,0,0,0,1,15,12-24,primaria,1,0,0,4,norte,1,0,Desocupada(o),0,7,4,85,85,3,3,3,4,4,3,3,3,4,3,85,85,2,6,0,0,0,0,0,0,0,0,277.5,92.5,0,0,0,0,0,0.08,0.16,0,6.6,0,0,2.7,0,0,3.84,7.08,68.21,43.05,20.49,0,14.3,1.49,168,NA
9835,3033,1,1,5,6,1,2,0,2,0,2,4,4,3,0,0,6,26.5,1,1,1,0,0,0,0,50,45-65,ninguna,0,1,48,2,centro,8,0.3333333333333333,Ocupada(o),2,3,4,3,4,2,3,3,3,3,2,4,3,3,4,4,4,1,1,57.5,57.5,0,3,175.5,29.25,1,58.5,175.5,28.916666666666668,48,0,1.15,0,0.71,0.4,0.36,0.09,0,0,0,0.05,0,0,1.43,9.3,42.54999999999999,0,10.21,0.09,49.03,4.63,168,1.1979166666666667
9842,3034,1,1,1,6,2,1,0,1,0,1,2,2,2,0,0,3,26,1,1,1,0,0,0,1,33,25-44,secundaria,0,1,6,1,norte,5,0.13793103448275862,Ocupada(o),4,3,4,5,5,4,4,4,4,4,2,4,2,4,4,4,5,2,4,10,10,0,0,0,0,0.20689655172413793,10.21,74,24.23563218390805,6,0,15.98,1.83,2.51,9.21,4.61,3.66,0,0,1.36,1.52,0,2.83,2.92,10.53,46.16999999999999,0,14.63,0.46,36.07,7.71,168.00000000000003,1.6666666666666667
9845,3035,1,1,4,6,3,0,0,0,1,1,4,4,3,0,0,5,41.8,1,1,1,0,0,0,0,41,25-44,primaria,0,1,48,4,norte,2,0.25,Ocupada(o),2,6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,2,7,112.5,112.5,0,0,0,0,0,112.5,450,90,48,0,1.61,0.22,2.63,0.56,0.27,0.67,0,0,0.99,0.09,0,0,1.39,5.86,49.56,0,1.75,1.37,50.91,2.12,168,2.34375
9846,3035,1,1,4,6,7,0,0,0,1,1,4,4,3,0,0,5,41.8,1,1,1,0,0,0,1,38,25-44,secundaria,0,1,32,4,norte,2,0.19444444444444445,Ocupada(o),2,3,4,85,4,2,4,5,5,5,4,5,5,5,4,1,5,1,5,0,87.5,0,0,0,0,0,87.5,450,90,32,0,2.2,0.95,1.26,3.31,12.63,9.23,1.34,0,5.74,1.64,0,0.15,5.51,6.02,38.57000000000001,0,17.76,0.11,26.82,2.76,167.99999999999997,2.734375
9851,3036,0,0,1,7,3,2,0,2,0,2,6,5,3,0,1,8,35.875,1,1,1,0,0,0,1,47,45-65,primaria,0,0,0,2,metropolitana,13,0,Inactiva(o),0,7,2,2,4,4,85,2,2,2,2,85,2,2,85,4,4,2,9,0,0,0,0,0,0,0,0,330,41.25,0,0,21.58,0,15.1,15.84,7.59,3.81,0,0,2.14,2.25,0,0.02,4.41,13.87,59.51,0,7.71,2.45,11.72,0,168,NA
9853,3036,1,0,1,7,3,2,0,2,0,2,6,5,3,0,1,8,35.875,0,0,0,0,0,0,0,28,25-44,secundaria,0,1,66,2,metropolitana,13,0.30303030303030304,Ocupada(o),2,5,4,85,85,2,4,4,3,2,4,4,3,3,4,85,85,3,0,100,100,0,0,0,0,0,100,330,41.25,66,0,4.99,0,0.53,0,0.95,0,0,0,2.4,0,0,0,2.44,7.3,40.49999999999999,0,20.5,3.51,14.79,4.09,168,1.5151515151515151
9857,3037,1,1,1,7,1,0,0,0,0,0,2,2,1,0,0,2,64.5,1,1,1,0,0,0,1,58,45-65,primaria,0,1,48,3,centro,7,0.5894736842105263,Ocupada(o),2,3,4,4,4,85,5,1,4,4,5,5,4,4,4,5,5,3,0,62.5,70,0,0,118.75,59.375,0,70,118.75,59.375,48,0,0,0,5.51,12.41,7.54,2.12,0,0,2.19,6.46,0,0,2.22,4.16,54.83,0,11.5,0,8.18,2.88,168,1.4583333333333333
9858,3037,0,0,1,7,2,0,0,0,0,0,2,2,1,0,0,2,64.5,1,1,1,0,0,0,0,71,66+,ninguna,0,0,0,3,centro,7,0.4105263157894737,Inactiva(o),0,7,4,4,4,85,85,2,4,4,5,85,5,5,85,4,4,3,0,0,0,48.75,0,0,0,0,48.75,118.75,59.375,0,0,0,0,0,5.11,3.11,0.49,0,0,1.97,23.07,0,0,7.68,4.32,87.5,0,20.87,4.23,9.65,0,168,NA
9860,3038,0,0,2,6,2,0,0,0,0,0,2,2,0,0,0,2,78.5,1,1,1,0,0,0,1,78,66+,ninguna,0,0,0,2,centro,7,0.2786885245901639,Inactiva(o),0,7,4,4,4,85,85,3,3,4,4,85,4,4,85,4,85,1,8,0,0,21.25,0,0,0,0,21.25,76.25,38.125,0,0,0,0,7,14.8,6.97,2.77,0,0,3.31,15.43,0,0,1.64,15.61,52.43000000000001,0,9.19,0,38.85,0,168,NA
9865,3040,0,0,3,6,1,0,0,0,0,0,4,4,0,0,0,4,69.5,1,1,1,0,0,0,0,85,66+,primaria,0,0,0,1,norte,5,0.5389473684210526,Inactiva(o),0,7,5,5,4,85,85,2,2,4,2,85,5,4,85,4,4,3,0,0,0,32,32.5,91.875,22.96875,17.51578947368421,49.52,91.875,19.222697368421052,0,0,0,0,0.42,1.25,1.66,0,0,0,1.12,0,0,0,3.59,19.75,45.53999999999999,0,27.31,0,67.36,0,168,NA
9867,3040,0,0,3,6,3,0,0,0,0,0,4,4,0,0,0,4,69.5,0,0,0,0,0,0,1,60,45-65,ninguna,0,0,6,1,norte,5,0.08842105263157894,Ocupada(o),1,5,5,85,85,5,5,3,5,5,2,5,5,5,5,85,85,3,0,5.25,5.25,0,0,0,0,2.873684210526316,8.12,91.875,15.562171052631578,6,0,0.01,0,2.03,18.88,16.24,2.2,0,0,1.27,0.91,0.96,0,5.74,12.34,61.12999999999999,0,12.19,0,28.1,0,168,0.875
9872,3042,0,0,1,6,1,0,0,0,0,0,2,1,0,0,0,2,63,0,0,0,0,0,0,0,50,45-65,secundaria,0,0,0,1,metropolitana,13,0,Inactiva(o),0,7,2,4,85,2,85,1,2,3,2,85,3,3,85,85,85,1,3,0,0,0,0,42.5,21.25,0,0,42.5,21.25,0,3.2,0,0,0.41,14.63,15.17,2.35,0,0.94,7.5,0,0,0,3.73,14.1,46.95,4.8,23.89,0,30.33,0,168,NA
9874,3043,0,0,2,6,1,0,0,0,0,0,1,1,0,0,0,1,83,0,0,0,0,0,0,0,83,66+,primaria,0,0,0,3,metropolitana,13,1,Inactiva(o),0,7,4,85,85,85,85,4,4,4,4,85,4,4,85,85,85,3,0,0,0,45,0,45,45,0,45,45,45,0,0,0,0,0,10.88,3.86,7.71,0,0,2.76,0,0,0.28,4.04,7.9,61.60999999999999,0,11.6,10.49,46.87,0,168,NA
9880,3046,0,0,1,7,3,0,0,1,1,1,2,3,1,0,0,3,38.333333333333336,0,0,0,0,0,0,1,13,12-24,ninguna,1,0,0,1,centro,8,0,Menor de 15 años,0,7,4,85,85,5,85,4,4,4,5,85,4,4,85,85,85,2,6,0,0,0,0,0,0,0,0,59.5,18.333333333333332,0,0,0,0,0,0.48,1.95,0,0,0,0,0.95,0,0,4.37,8.4,68.12,35.14,20.37,6.2,21.21,0.81,168,NA
9886,3049,0,0,1,6,3,1,0,1,0,1,2,2,1,0,0,3,30,1,0,0,0,0,0,1,24,12-24,primaria,0,0,0,2,sur,10,0,Inactiva(o),0,7,4,5,5,2,85,4,2,1,1,85,4,2,85,85,85,2,4,0,0,0,0,0,0,0,0,94.5,25,0,0,22.18,0,2.05,15.13,12.29,2.11,0,0,2.15,0.08,0,0,11.96,5.95,55.5,0,9.62,0,28.98,0,168,NA
